protocol,fold,mode,n_pos,AUC_PRC,recall,FAR,seed_ap_std
walkforward,2022,single,17,0.0797,0.4706,0.0352,0.0344
walkforward,2022,arithmean,17,0.1306,0.6471,0.0386,0.0344
walkforward,2022,geomean,17,0.128,0.6471,0.0386,0.0344
walkforward,2023,single,83,0.8812,0.7711,0.0014,0.0185
walkforward,2023,arithmean,83,0.892,0.8193,0.0023,0.0185
walkforward,2023,geomean,83,0.889,0.8193,0.0026,0.0185
walkforward,pooled,single,100,0.6257,,,
walkforward,pooled,arithmean,100,0.6567,,,
walkforward,pooled,geomean,100,0.6547,,,
crossevent,COVID_2020,single,40,0.1488,1.0,0.5941,0.0046
crossevent,COVID_2020,arithmean,40,0.1518,1.0,0.6054,0.0046
crossevent,COVID_2020,geomean,40,0.1523,1.0,0.5941,0.0046
crossevent,UST_2022,single,17,0.4804,1.0,0.1599,0.0388
crossevent,UST_2022,arithmean,17,0.4333,1.0,0.186,0.0388
crossevent,UST_2022,geomean,17,0.4313,1.0,0.186,0.0388
crossevent,SVB_2023,single,83,0.8672,0.8675,0.0493,0.018
crossevent,SVB_2023,arithmean,83,0.8822,0.8795,0.0616,0.018
crossevent,SVB_2023,geomean,83,0.8791,0.8795,0.0603,0.018
