feature,shap_full,shap_svb
btc_vol,3.3716986,0.8158812
vol_6h,1.9116652,0.75638056
hl_spread,1.7664546,1.4724874
lower_shadow,0.9675919,1.1761826
vol_24h,0.9578347,2.8902261
btc_vol_24h,0.7517884,1.5088104
volume_ratio,0.71852183,0.5033963
upper_shadow,0.6252116,0.2855698
log_ntrades,0.52449834,0.18613409
btc_ret_24h,0.4703578,0.3713582
vol_72h,0.46250087,1.3524655
eth_ret_24h,0.40441188,0.6565774
ma168_dev,0.37560487,0.5670353
log_qvol,0.3451487,0.8622815
ret_24h,0.30579323,0.16098647
eth_vol,0.28673697,0.05388311
rsi_24h,0.23898746,0.22704193
ret_1h,0.18948625,0.17969666
eth_vol_24h,0.18653356,1.5011026
ret_6h,0.18382464,0.53274906
btc_ret_1h,0.11613036,0.06739028
ma24_dev,0.104877494,0.06251173
eth_ret_1h,0.04122119,0.044725105
volume_surge,0.0004535615,0.0001404549
